	Source	Target	Weight
85	1022	1486	0.8961102697877951
86	940	1007	0.8960727582983498
87	954	2347	0.895667085086347
88	1112	2312	0.8954997485425095
89	2780	2799	0.8954898149369197
90	1007	1558	0.8950233644976826
91	227	927	0.8949835727946853
92	936	1112	0.8949153253885983
93	2698	2701	0.8947828319609522
94	665	1852	0.8941584134493172
95	910	2706	0.8941336010922009
96	364	1126	0.8940683644498124
97	939	961	0.8939719278202085
98	100	1069	0.8938207501186081
99	1069	1493	0.8937434832599511
100	567	1486	0.8936243710876096
101	954	1007	0.8936025152545987
102	1864	2690	0.8935860756993688
103	825	2668	0.8933333356532566
104	1096	2690	0.8932682188928863
105	898	899	0.8932549839756403
106	486	2931	0.8928999467636979
107	665	2312	0.8928360038670008
108	1096	1112	0.8927264684260233
109	1558	2690	0.8922268996664696
110	302	954	0.89192196768007
111	665	961	0.8918932657625549
112	763	1551	0.8918586680723729
113	1004	2691	0.8918306177495915
114	1353	2300	0.8917430361291262
115	1153	1159	0.8914344905610084
116	1292	2388	0.8908777394506938
117	2690	2742	0.8908130409819255
118	1112	2347	0.8906915545479308
119	933	1096	0.8905900219761909
120	936	940	0.8905474027547613
121	375	1558	0.8904613178117864
122	796	1292	0.8904210942816279
123	940	954	0.8903645390038225
124	367	2571	0.8901340824983888
125	1004	1528	0.8900052774283708
126	242	1353	0.8898119801052399
127	1007	1112	0.889340192881344
128	933	2690	0.8890168697150275
129	1022	2589	0.8889534392497694
130	686	969	0.8889421602707105
131	527	2690	0.888839012550623
132	2312	2742	0.8888010988127066
133	1096	2742	0.8886503911820512
134	1218	1486	0.8885520336739341
135	1009	1027	0.8884569152880225
136	1214	2417	0.8882941728141304
137	2419	2802	0.8881799337683571
138	567	1022	0.8871814923109607
139	308	309	0.8870233922664101
140	954	1558	0.8859896491290228
141	367	566	0.8859626381852248
142	1615	2766	0.8858803784155986
143	276	364	0.8858257924048619
144	2080	2417	0.8856658559436607
145	1578	2178	0.8855548429127549
146	2792	2799	0.8854469955781429
147	302	537	0.8853985871568066
148	898	940	0.8853402199788181
149	2636	2691	0.8853314959707501
150	1448	1466	0.8853244439063631
151	566	2314	0.885097182229907
152	1666	2178	0.885046495581876
153	331	2276	0.884734443836443
154	665	2742	0.8846931480160246
155	302	1112	0.8846343592025494
156	665	2347	0.884585179667638
157	65	2908	0.8844557365510263
158	1904	2286	0.8842518023934218
159	232	665	0.8839084320828295
160	482	1325	0.8836469739986123
161	527	1864	0.8834435638425067
162	527	1096	0.8833914819750565
163	940	1112	0.8830512955526602
164	961	1007	0.8814048451099435
165	1691	1805	0.8811903496927188
166	1405	1808	0.8811693310800374
167	528	665	0.881140334691334
168	537	665	0.8809819850139742
169	1797	1798	0.880928688986176
170	1744	1808	0.8808424982517319
171	796	1295	0.880686316997224
172	936	1007	0.8804036160202784
173	665	898	0.8803443018071754
174	578	1582	0.8802210992557506
175	744	954	0.8798560071396855
176	939	940	0.8796187600884773
177	1053	2347	0.8796022550735972
178	2791	2799	0.8794884527507134
179	527	936	0.8794322923156183
180	665	899	0.8791111058586218
181	933	1864	0.8789823358479394
182	1486	2259	0.8787752664215287
183	1803	1808	0.8785766742025067
184	933	2742	0.8785656176936781
185	517	527	0.8781472703918873
186	940	1645	0.8780300460218943
187	1808	2136	0.8779831521580518
188	1886	2503	0.8779357591899213
189	1096	2312	0.8775621579057805
190	302	2347	0.8774208274928781
191	53	665	0.8773673343406828
192	1803	1811	0.8768082718036201
193	961	1112	0.876693457946827
194	459	1454	0.876530610117323
195	1803	1836	0.8764438084723455
196	936	1096	0.8760724093970613
197	1069	2470	0.8759869657463989
198	665	1645	0.8756257275075828
199	527	1112	0.8755830800554392
200	936	2690	0.8754685863474394
201	232	2312	0.8754277421424812
202	375	940	0.8753783922528775
203	567	1218	0.8751347521549998
204	1007	1852	0.8747785314508247
205	527	961	0.8747742135966002
206	1645	2690	0.8747539190601251
207	316	1954	0.8744999463458688
208	1007	2690	0.8744763471342902
209	969	2179	0.8744331591150215
210	954	1096	0.8743145849837107
211	1783	1805	0.8741472267325977
212	1803	1805	0.8740242055803045
213	472	2236	0.8736833405164923
214	1803	1903	0.8734003662004558
215	2780	2791	0.8733425942691377
216	936	2312	0.8733340591668745
217	1112	1864	0.8729668932233476
218	232	933	0.8728533927763098
219	316	1803	0.8726843265470963
220	936	2347	0.8724278323252317
221	1852	2690	0.8723939441704488
222	321	2417	0.8721472330845582
223	1749	2030	0.8721248986002884
224	316	1783	0.8718885539140332
225	232	2347	0.8715739752304195
226	1096	1558	0.8712716217130765
227	1811	2136	0.8712268595249792
228	2035	2691	0.8710639922861478
229	1683	2754	0.8709275673194561
230	940	2690	0.8708933021126456
231	1925	2512	0.8708703202299896
232	1112	1645	0.8705704444302125
233	939	1558	0.870551427394728
234	527	954	0.8703251888970516
235	1218	2928	0.8702913992667755
236	1092	2312	0.8702075804368964
237	1836	1954	0.8699702135185404
238	1783	1803	0.8699588341892251
239	752	933	0.869924030702618
240	567	2259	0.8698650192277214
241	954	1645	0.8697620460567198
242	527	1007	0.8696570808778715
243	1214	2080	0.8696088884962095
244	2250	2299	0.8695908162721333
245	232	954	0.8695832789545526
246	954	2312	0.8695032168059761
247	612	1749	0.8694798115983775
248	537	1007	0.8694359958583823
249	688	2236	0.869419383271917
250	2178	2733	0.8692518766661742
251	898	1864	0.869221671793575
252	1078	2529	0.8691033911831437
253	933	1645	0.8690743274250501
254	1493	2299	0.8690409891147612
255	567	2928	0.8690118508528627
256	878	1756	0.8689094682689182
257	1528	2691	0.8687884039552584
258	1749	1789	0.8687112479582489
259	1486	2928	0.8685527371646825
260	1808	1962	0.8684957222622504
261	961	1645	0.8682601471469291
262	940	1864	0.8681275726971943
263	527	528	0.8680523520429533
264	1486	2140	0.8680472345403248
265	933	939	0.8678264999730494
266	1188	1752	0.867801735645092
267	752	1558	0.8677373600222377
268	65	809	0.8675658447993728
269	1808	1811	0.8675314853950646
270	866	1803	0.8674443325473833
271	100	1493	0.867392295211617
272	1007	1645	0.8673464937360656
273	171	2523	0.8673113625517636
274	812	2030	0.8671966818829983
275	1578	1666	0.8671319295531533
276	302	665	0.867112365949353
277	1558	1864	0.8670727173581805
278	2135	2136	0.866916527475598
279	933	2347	0.8668288371523676
280	1353	1467	0.8667457117291216
281	375	936	0.8665580837793598
282	1112	2284	0.8665300472932946
283	1558	2742	0.8665288569292605
