"ID	label	sector"
"242	AWP	EquityRealEstateInvestmentTrusts"
"243	AWR	WaterUtilities"
"244	AWRE	Software"
"245	AWX	CommercialServicesSupplies"
"246	AX	ThriftsMortgageFinance"
"247	AXDX	LifeSciencesToolsServices"
"248	AXGN	HealthCareEquipmentSupplies"
"249	AXL	AutoComponents"
"250	AXON	AerospaceDefense"
"251	AXP	ConsumerFinance"
"252	AXR	CommercialServicesSupplies"
"253	AXS	Insurance"
"254	AXTI	SemiconductorsSemiconductorEquipment"
"255	AXU	Banks"
"256	AYI	ElectricalEquipment"
"257	AYRO	AutoManufacturers"
"258	AYTU	Pharmaceuticals"
"259	AZN	Pharmaceuticals"
"260	AZO	SpecialtyRetail"
"261	AZPN	Software"
"262	AZTA	MedicalInstrumentsSupplies"
"263	AZZ	ElectricalEquipment"
"264	B	Machinery"
"265	BA	AerospaceDefense"
"266	BAC	Banks"
"267	BAK	Chemicals"
"268	BAM	CapitalMarkets"
"269	BANC	Banks"
"270	BANF	Banks"
"271	BANFP	ETF"
"272	BANR	Banks"
"273	BAP	Banks"
"274	BAX	HealthCareEquipmentSupplies"
"275	BB	Software"
"276	BBAR	Banks"
"277	BBBY	SpecialtyRetail"
"278	BBD	Banks"
"279	BBDC	CapitalMarkets"
"280	BBGI	Media"
"281	BBI	Biotechnology"
"282	BBQ	ETF"
"283	BBSI	ProfessionalServices"
"284	BBVA	Banks"
"285	BBW	SpecialtyRetail"
"286	BBWI	SpecialtyRetail"
"287	BBY	SpecialtyRetail"
"288	BC	LeisureProducts"
"289	BCBP	Banks"
"290	BCDA	Biotechnology"
"291	BCE	DiversifiedTelecommunicationServices"
"292	BCH	Banks"
"293	BCLI	Biotechnology"
"294	BCML	Banks"
"295	BCO	CommercialServicesSupplies"
"296	BCOR	CapitalMarkets"
"297	BCPC	Chemicals"
"298	BCRX	Biotechnology"
"299	BCS	Banks"
"300	BCV	ETF"
"301	BDC	ElectronicEquipmentInstrumentsC"
"302	BDJ	ETF"
"303	BDL	HotelsRestaurantsLeisure"
"304	BDN	EquityRealEstateInvestmentTrusts"
"305	BDSI	ETF"
"306	BDX	HealthCareEquipmentSupplies"
"307	BECN	TradingCompaniesDistributors"
"308	BELFA	ElectronicComponents"
"309	BELFB	ElectronicEquipmentInstrumentsC"
"310	BEN	CapitalMarkets"
"311	BEP	IndependentPowerandRenewableElect"
"312	BFC	Banks"
"313	BFIN	Banks"
"314	BFK	ETF"
"315	BFS	EquityRealEstateInvestmentTrusts"
"316	BFZ	ETF"
